tokens 676 (Robinhood, 15-minute candles)
                                               fit  n= 2201 tokens= 97 mean   +4.4% [+1, +8] median   -5.2% win  42%
                                               hold n= 3980 tokens=431 mean   +4.4% [+1, +9] median   -4.6% win  40%
hold 24h                                       all  n= 6181 tokens=449 mean   +7.4% [+3, +12] median   -7.8% win  40%
                                               fit  n= 2201 tokens= 97 mean   +6.6% [+2, +11] median   -7.5% win  41%
                                               hold n= 3980 tokens=431 mean   +7.8% [+2, +15] median   -7.9% win  39%
TP +15% / SL -15% / 24h                        all  n= 6181 tokens=449 mean   -2.7% [-3, -2] median   -1.6% win  50%
                                               fit  n= 2201 tokens= 97 mean   -2.3% [-3, -2] median  +12.0% win  52%
                                               hold n= 3980 tokens=431 mean   -2.9% [-3, -2] median   -3.0% win  49%
TP +30% / SL -20% / 24h                        all  n= 6181 tokens=449 mean   -1.1% [-2, -0] median  -12.8% win  43%
                                               fit  n= 2201 tokens= 97 mean   -1.5% [-2, -1] median  -23.0% win  43%
                                               hold n= 3980 tokens=431 mean   -0.9% [-2, -0] median  -10.5% win  43%
--- placebo: random candles, same volume filter, hold 12h
placebo hold 12h                               all  n= 9487 tokens=446 mean   +1.5% [-0, +4] median   -3.4% win  34%
                                               fit  n= 3144 tokens=102 mean   +1.4% [-1, +3] median   -3.9% win  34%
                                               hold n= 6343 tokens=427 mean   +1.6% [-1, +4] median   -3.3% win  33%
